id,observed_on,latitude,longitude,positional_accuracy,place_county_name,place_state_name,species_guess
133930611,2022-09-06,37.3522413237,-79.1804730892,6.0,Lynchburg,Virginia,Spotted Lanternfly
133930762,2022-09-06,37.3522106741,-79.1804657131,5.0,Lynchburg,Virginia,Spotted Lanternfly
134076027,2022-09-07,39.18591345,-78.16871141,7.0,Winchester,Virginia,Spotted Lanternfly
134088654,2022-07-25,38.9708533333,-78.1223833333,10.0,Warren,Virginia,Spotted Lanternfly
134099141,2022-09-07,38.74765,-77.55168,3.0,Prince William,Virginia,Spotted Lanternfly
134316315,2022-09-09,39.1860866667,-78.1320583333,4.0,Frederick,Virginia,Spotted Lanternfly
134441117,2022-09-10,39.1772633333,-78.0513916667,3000.0,Clarke,Virginia,Spotted Lanternfly
134457318,2022-09-10,38.9493845018,-78.1329662865,75.0,Warren,Virginia,Spotted Lanternfly
134471191,2022-09-10,39.10102309,-78.2185595156,305.0,Frederick,Virginia,Spotted Lanternfly
134492251,2022-09-10,39.2020633333,-78.1534416667,4.0,Frederick,Virginia,Spotted Lanternfly
134521301,2022-09-10,39.2310244852,-78.1993502006,192.0,Frederick,Virginia,Spotted Lanternfly
134529040,2022-09-09,39.1859277093,-78.2043206692,18.0,Frederick,Virginia,Spotted Lanternfly
134656571,2022-09-11,39.1832283333,-78.1663278333,21.0,Winchester,Virginia,Spotted Lanternfly
134667972,2022-09-10,39.2537001148,-78.0949869566,5.0,Frederick,Virginia,Spotted Lanternfly
134771640,2022-09-12,38.8965370276,-77.0860661566,121.0,Arlington,Virginia,Spotted Lanternfly
134934559,2022-09-13,39.1394305,-78.1931616667,5.0,Frederick,Virginia,Spotted Lanternfly
135027974,2022-09-14,38.009168082,-78.5008012411,9.0,Albemarle,Virginia,Spotted Lanternfly
135123410,2022-09-15,38.0885990526,-78.8639099113,372.0,Waynesboro,Virginia,Spotted Lanternfly
135148591,2022-09-15,39.2154096883,-78.1918786401,9.0,Frederick,Virginia,Spotted Lanternfly
135148839,2022-09-15,39.2152744299,-78.1917629018,6.0,Frederick,Virginia,Spotted Lanternfly
135364032,2022-09-17,37.3400166667,-79.1988666667,4.0,Campbell,Virginia,Spotted Lanternfly
