id,observed_on,latitude,longitude,positional_accuracy,place_county_name,place_state_name,place_country_name,species_guess
31918492,2019-09-01,37.388412254,-79.4147128333,5.0,Bedford,Virginia,United States,tree-of-heaven
32283700,2019-09-07,37.28613713,-79.4554199652,5.0,Bedford,Virginia,United States,tree-of-heaven
32305363,2019-09-07,37.5294279184,-77.4460745776,7.0,Richmond city,Virginia,United States,tree-of-heaven
32402636,2019-09-06,38.9529455488,-77.343855612,9.0,Fairfax,Virginia,United States,tree-of-heaven
32434392,2019-09-09,38.82695322,-77.30790886,7.0,Fairfax,Virginia,United States,tree-of-heaven
32477983,2019-09-10,36.8230567407,-79.302792633,5.0,Pittsylvania,Virginia,United States,tree-of-heaven
32658366,2019-09-13,37.5244635763,-77.4689136912,30.0,Richmond city,Virginia,United States,tree-of-heaven
32698445,2019-09-14,38.8485655608,-77.6411896293,5.0,Prince William,Virginia,United States,tree-of-heaven
32817053,2019-06-30,36.8439866667,-81.5012366667,5.0,Smyth,Virginia,United States,tree-of-heaven
32871681,2019-09-16,37.393168984,-79.4085985702,10.0,Bedford,Virginia,United States,tree-of-heaven
32904248,2019-09-17,38.82712046,-77.30761831,7.0,Fairfax,Virginia,United States,tree-of-heaven
32904257,2019-09-17,38.8269997621,-77.3075702693,12.0,Fairfax,Virginia,United States,tree-of-heaven
33078191,2019-09-20,37.3642746,-77.3415953,2200.0,Chesterfield,Virginia,United States,tree-of-heaven
33108296,2019-07-23,38.912575,-77.2200783333,10.0,Fairfax,Virginia,United States,tree-of-heaven
33214792,2019-09-22,38.8358666697,-77.3181826239,56.0,Fairfax city,Virginia,United States,tree-of-heaven
33287532,2019-08-20,39.191915,-78.132824,51.0,Frederick,Virginia,United States,tree-of-heaven
33339805,2019-09-24,37.5516444181,-77.4744495769,34.0,Richmond city,Virginia,United States,tree-of-heaven
33558163,2019-09-28,37.7040883798,-77.5467891247,10.0,Henrico,Virginia,United States,tree-of-heaven
33663830,2019-09-30,37.5609833189,-77.4584944826,5.0,Richmond city,Virginia,United States,tree-of-heaven
33794876,2019-10-03,39.1519014398,-77.8113542498,30.0,Loudoun,Virginia,United States,tree-of-heaven
33826630,2019-10-03,38.7380546518,-77.5737345871,10.0,Prince William,Virginia,United States,tree-of-heaven
33870911,2019-08-06,38.7860638889,-77.1785972222,5.0,Fairfax,Virginia,United States,tree-of-heaven
33872878,2019-08-06,38.6704722222,-77.2537777778,5.0,Prince William,Virginia,United States,tree-of-heaven
33875028,2019-08-06,38.3975666667,-77.4356388889,10.0,Stafford,Virginia,United States,tree-of-heaven
33875043,2019-08-06,38.3917722222,-77.4416277778,5.0,Stafford,Virginia,United States,tree-of-heaven
33875071,2019-08-06,38.3617777778,-77.4706722222,5.0,Stafford,Virginia,United States,tree-of-heaven
33875110,2019-08-06,38.3244861111,-77.5028305556,5.0,Fredericksburg,Virginia,United States,tree-of-heaven
33875111,2019-08-06,38.3242638889,-77.5029444444,5.0,Fredericksburg,Virginia,United States,tree-of-heaven
33875112,2019-08-06,38.3240361111,-77.5030444444,5.0,Fredericksburg,Virginia,United States,tree-of-heaven
33875113,2019-08-06,38.3238138889,-77.5031277778,5.0,Fredericksburg,Virginia,United States,tree-of-heaven
33875114,2019-08-06,38.3235805556,-77.5032277778,5.0,Fredericksburg,Virginia,United States,tree-of-heaven
33875116,2019-08-06,38.32335,-77.5033277778,5.0,Fredericksburg,Virginia,United States,tree-of-heaven
33875117,2019-08-06,38.3231194444,-77.5034166667,5.0,Fredericksburg,Virginia,United States,tree-of-heaven
33875118,2019-08-06,38.3229,-77.5035166667,5.0,Fredericksburg,Virginia,United States,tree-of-heaven
33875120,2019-08-06,38.3226666667,-77.5036166667,5.0,Fredericksburg,Virginia,United States,tree-of-heaven
33875122,2019-08-06,38.3224361111,-77.5037083333,5.0,Fredericksburg,Virginia,United States,tree-of-heaven
33875123,2019-08-06,38.3224361111,-77.5037083333,5.0,Fredericksburg,Virginia,United States,tree-of-heaven
33875124,2019-08-06,38.3221861111,-77.5038,5.0,Fredericksburg,Virginia,United States,tree-of-heaven
33875125,2019-08-06,38.3217,-77.5039527778,5.0,Fredericksburg,Virginia,United States,tree-of-heaven
33875128,2019-08-06,38.2987666667,-77.5049833333,5.0,Fredericksburg,Virginia,United States,tree-of-heaven
33875130,2019-08-06,38.2970694444,-77.5056,5.0,Fredericksburg,Virginia,United States,tree-of-heaven
33876093,2019-08-06,38.2754055556,-77.513275,5.0,Spotsylvania,Virginia,United States,tree-of-heaven
33876095,2019-08-06,38.27515,-77.5133833333,5.0,Spotsylvania,Virginia,United States,tree-of-heaven
33876097,2019-08-06,38.2748972222,-77.5134722222,5.0,Spotsylvania,Virginia,United States,tree-of-heaven
33876098,2019-08-06,38.2746472222,-77.5135583333,5.0,Spotsylvania,Virginia,United States,tree-of-heaven
33876099,2019-08-06,38.2741277778,-77.5137166667,5.0,Spotsylvania,Virginia,United States,tree-of-heaven
33876101,2019-08-06,38.2738694444,-77.5138083333,5.0,Spotsylvania,Virginia,United States,tree-of-heaven
33876102,2019-08-06,38.2733305556,-77.5139694444,5.0,Spotsylvania,Virginia,United States,tree-of-heaven
33876104,2019-08-06,38.2728166667,-77.5141222222,5.0,Spotsylvania,Virginia,United States,tree-of-heaven
33876110,2019-08-06,38.2707027778,-77.5145944444,10.0,Spotsylvania,Virginia,United States,tree-of-heaven
33876121,2019-08-06,38.2679472222,-77.5148916667,10.0,Spotsylvania,Virginia,United States,tree-of-heaven
34115869,2019-10-09,39.31948379,-77.71372001,3.0,Loudoun,Virginia,United States,tree-of-heaven
34180939,2019-10-10,37.4937383333,-79.7962116667,5.0,Botetourt,Virginia,United States,tree-of-heaven
34214591,2019-10-11,37.5411408814,-77.4572366942,5.0,Richmond city,Virginia,United States,tree-of-heaven
34262456,2019-10-12,38.7637977966,-77.09499834,70.0,Fairfax,Virginia,United States,tree-of-heaven
34303583,2019-10-13,37.34734632,-77.34501631,10.0,Chesterfield,Virginia,United States,tree-of-heaven
34327761,2019-10-13,37.5780453,-76.4194573,92.0,Middlesex,Virginia,United States,tree-of-heaven
34433462,2019-08-04,38.781855,-77.0722666667,30.0,Fairfax,Virginia,United States,tree-of-heaven
34539187,2019-10-18,37.55595044,-77.4859912,9.0,Richmond city,Virginia,United States,tree-of-heaven
34557595,2019-10-14,37.5305840932,-77.4542581587,357.0,Richmond city,Virginia,United States,tree-of-heaven
34597277,2019-10-19,36.6201656917,-78.5016578716,5.0,Mecklenburg,Virginia,United States,tree-of-heaven
34605094,2019-10-19,37.5391729,-77.55895148,6.0,Chesterfield,Virginia,United States,tree-of-heaven
34700024,2019-10-21,37.54030118,-77.55772674,9.0,Richmond city,Virginia,United States,tree-of-heaven
34795904,2019-10-23,37.8022611399,-79.4221909925,65.0,Rockbridge,Virginia,United States,tree-of-heaven
34833976,2019-10-23,37.7987181496,-79.4196917038,65.0,Rockbridge,Virginia,United States,tree-of-heaven
34834112,2019-10-23,37.7990165435,-79.4199749664,165.0,Rockbridge,Virginia,United States,tree-of-heaven
34840089,2019-10-23,37.8023047457,-79.4223320337,65.0,Rockbridge,Virginia,United States,tree-of-heaven
34878647,2019-10-25,37.37201716,-77.36350795,24.0,Chesterfield,Virginia,United States,tree-of-heaven
35210760,2019-11-02,37.2534858669,-79.9470492639,5.0,Roanoke city,Virginia,United States,tree-of-heaven
35223408,2019-10-21,38.1263850744,-78.7140130034,2.0,Albemarle,Virginia,United States,tree-of-heaven
35343239,2019-11-05,37.2232639554,-80.4160891854,50.0,Montgomery,Virginia,United States,tree-of-heaven
35343245,2019-11-05,37.2231283319,-80.4166294635,10.0,Montgomery,Virginia,United States,tree-of-heaven
35418207,2019-11-07,39.0181273129,-77.2488166486,10.0,Fairfax,Virginia,United States,tree-of-heaven
35496020,2019-11-09,37.5341418011,-77.4489380852,64.0,Richmond city,Virginia,United States,tree-of-heaven
35496855,2019-11-09,37.5344495102,-77.4495330773,48.0,Richmond city,Virginia,United States,tree-of-heaven
35711797,2019-11-03,37.0224305,-76.34845,10.0,Hampton,Virginia,United States,tree-of-heaven
35818796,2019-11-07,39.0181860282,-77.2487594002,5.0,Fairfax,Virginia,United States,tree-of-heaven
35818821,2019-11-07,39.0183076077,-77.2480731738,10.0,Fairfax,Virginia,United States,tree-of-heaven
36956647,2019-12-25,38.894953,-77.081258,6.0,Arlington,Virginia,United States,tree-of-heaven
37303180,2019-11-07,39.0183018241,-77.2480580025,10.0,Fairfax,Virginia,United States,tree-of-heaven
37752373,2019-09-08,37.3931125319,-79.4083881006,5.0,Bedford,Virginia,United States,tree-of-heaven
38118580,2020-01-30,38.2130368142,-78.9750360857,500.0,Rockingham,Virginia,United States,айлант высочайший
39538260,2020-03-04,39.02727783,-77.59985333,4.0,Loudoun,Virginia,United States,tree-of-heaven
40541658,2020-03-22,37.59184339,-77.47374055,9.0,Richmond city,Virginia,United States,tree-of-heaven
41070336,2020-03-30,37.5593303657,-77.4281366543,5.0,Richmond city,Virginia,United States,tree-of-heaven
41261607,2020-04-02,38.7906276249,-77.1320962162,5.0,Fairfax,Virginia,United States,tree-of-heaven
41323202,2020-04-03,38.7748411484,-77.1390318219,5.0,Fairfax,Virginia,United States,tree-of-heaven
41377433,2020-04-04,38.7896370536,-77.1312509566,8.0,Fairfax,Virginia,United States,tree-of-heaven
41393701,2020-04-04,38.7048264379,-77.2411026629,8.0,Fairfax,Virginia,United States,tree-of-heaven
41393864,2020-04-04,38.706366576,-77.2369131987,189.0,Fairfax,Virginia,United States,tree-of-heaven
41402960,2020-04-04,37.59687833,-79.39109167,6.0,Amherst,Virginia,United States,tree-of-heaven
41446452,2020-04-05,37.5594026177,-77.5259947871,5.0,Richmond city,Virginia,United States,tree-of-heaven
41582009,2020-04-05,37.6831287188,-77.4508063757,50.0,Hanover,Virginia,United States,tree-of-heaven
41679561,2020-04-05,37.6802737071,-77.4563033795,21.0,Hanover,Virginia,United States,tree-of-heaven
41684183,2020-04-08,36.8360796199,-76.575815538,10.0,Suffolk,Virginia,United States,tree-of-heaven
41794352,2020-04-09,38.0175732295,-78.5162374314,65.0,Charlottesville City,Virginia,United States,tree-of-heaven
42024980,2020-04-12,38.8806976503,-77.0960071609,24.0,Arlington,Virginia,United States,tree-of-heaven
42030793,2020-04-12,37.1076699621,-77.9957194284,8.0,Nottoway,Virginia,United States,tree-of-heaven
42038725,2020-04-12,38.96529547,-78.04975733,6.0,Warren,Virginia,United States,tree-of-heaven
42087231,2020-04-11,37.3418437402,-77.5642503798,325.0,Chesterfield,Virginia,United States,tree-of-heaven
42125807,2020-04-13,37.3932829675,-79.4090322194,10.0,Bedford,Virginia,United States,tree-of-heaven
42125808,2020-04-13,37.3930622714,-79.4085092784,3.0,Bedford,Virginia,United States,tree-of-heaven
42195998,2020-04-14,37.4532352658,-77.5853301957,67.0,Chesterfield,Virginia,United States,tree-of-heaven
42264107,2020-04-15,38.7664287778,-77.1199418955,12.0,Fairfax,Virginia,United States,tree-of-heaven
42264346,2020-04-15,38.7663874543,-77.1199407802,10.0,Fairfax,Virginia,United States,tree-of-heaven
42267905,2020-04-14,37.680550033,-77.4562204093,20.0,Hanover,Virginia,United States,tree-of-heaven
42291126,2020-04-15,39.1328974964,-77.7478792058,272.0,Loudoun,Virginia,United States,tree-of-heaven
42328987,2020-04-16,38.0315788819,-78.4843719271,65.0,Charlottesville City,Virginia,United States,tree-of-heaven
42346900,2020-04-16,38.7902206416,-77.1256755945,5.0,Fairfax,Virginia,United States,tree-of-heaven
42346925,2020-04-16,38.7901089962,-77.125673481,24.0,Fairfax,Virginia,United States,tree-of-heaven
42404734,2020-03-06,37.530125,-77.45410333,5.0,Richmond city,Virginia,United States,tree-of-heaven
42416354,2019-09-28,37.3490452155,-79.1895676155,8.0,Lynchburg,Virginia,United States,tree-of-heaven
42436344,2020-04-17,38.86200333,-77.09452783,16.0,Arlington,Virginia,United States,tree-of-heaven
42518509,2020-04-18,38.7760172412,-77.1354445344,16.0,Fairfax,Virginia,United States,tree-of-heaven
